id,plataforma,usuario,timestamp,comentario
106,Instagram,user98,2025-06-16 08:25:11,#dica #aprendizado
107,Instagram,user212,2025-06-13 10:58:57,Gostei da abordagem prática e exemplos reais.
108,Instagram,user271,2025-06-09 22:10:26,#dica #aprendizado
109,Instagram,user136,2025-06-15 20:27:27,"Ótimas referências e fontes, obrigada!"
110,Instagram,user82,2025-06-26 02:13:41,Muito esclarecedor.
111,Instagram,user272,2025-06-15 16:27:10,Incrível post!
112,Instagram,user176,2025-06-24 11:19:37,Legal demais.
113,Instagram,user198,2025-06-14 18:52:43,Pode explicar melhor?
114,Instagram,user143,2025-06-22 02:23:41,Muito bom 😊
115,Instagram,user25,2025-06-16 06:00:40,Ótimo trabalho!
116,Instagram,user219,2025-06-11 06:40:28,"Exemplo muito prático, gostei!"
117,Instagram,user243,2025-06-30 00:05:57,Curti!
118,Instagram,user90,2025-06-18 04:31:04,Obrigado!
119,Instagram,user137,2025-06-06 21:19:57,Boa dica!
120,Instagram,user88,2025-06-20 03:11:45,Bem interessante.
121,Instagram,user162,2025-06-21 06:21:25,Que legal!
122,Instagram,user211,2025-06-23 03:34:40,Parabéns pelo trabalho!
123,Instagram,user194,2025-06-11 02:43:38,Bem interessante.
124,Instagram,user64,2025-06-30 17:07:42,Adorei!
125,Instagram,user182,2025-06-26 11:45:22,Muito interessante.
126,Instagram,user27,2025-06-07 16:34:03,Muito útil!
127,Instagram,user131,2025-07-02 12:45:46,Está ótimo!
128,Instagram,user192,2025-06-18 17:07:55,Show de bola!
129,Instagram,user24,2025-06-27 06:38:12,"Ótimas referências e fontes, obrigada!"
130,Instagram,user127,2025-06-18 19:52:07,Bem interessante.
131,Instagram,user65,2025-06-07 05:13:50,Excelente post!
132,Instagram,user168,2025-06-15 01:15:09,Pode explicar melhor?
133,Instagram,user195,2025-07-01 07:20:45,Adorei especialmente a forma como você explicou o tópico.
134,Instagram,user289,2025-06-10 18:32:35,Muito interessante.
135,Instagram,user4,2025-07-02 09:55:00,Perfeito!
136,Instagram,user202,2025-06-13 03:05:51,Gostaria de saber mais.
137,Instagram,user242,2025-06-30 09:00:29,"Achei esta parte confusa, pode revisar?"
138,Instagram,user131,2025-06-13 23:36:58,Ótimo post!
139,Instagram,user58,2025-06-24 18:10:04,Agradeço pelo post.
140,Instagram,user230,2025-06-20 11:21:13,Ótima informação.
141,Instagram,user108,2025-06-05 23:31:12,Está ótimo!
142,Instagram,user103,2025-06-19 04:32:11,Sensacional! Obrigado pelos insights.
143,Instagram,user291,2025-06-02 17:22:42,Muito interessante.
144,Instagram,user124,2025-06-24 19:05:26,Gostei da abordagem prática e exemplos reais.
145,Instagram,user42,2025-06-09 05:01:19,Excelente conteúdo!
146,Instagram,user203,2025-06-30 21:20:14,Perfeito!
147,Instagram,user279,2025-06-13 15:53:00,Conteúdo relevante.
148,Instagram,user161,2025-06-23 22:13:40,Pode explicar melhor?
149,Instagram,user179,2025-06-27 23:08:02,Ótimo trabalho!
150,Instagram,user11,2025-06-27 13:51:05,Ótima informação.
151,Instagram,user276,2025-06-15 18:50:03,Bacana!
152,Instagram,user129,2025-06-15 17:56:48,Parabéns pelo trabalho!
153,Instagram,user26,2025-07-02 13:15:22,Excelente post!
154,Instagram,user209,2025-06-13 09:41:33,Top!
155,Instagram,user93,2025-06-23 21:56:02,Agradeço pelo post.
156,Instagram,user245,2025-06-06 20:55:21,Gostei bastante.
157,Instagram,user298,2025-06-11 10:52:06,Muito bom 😊
158,Instagram,user156,2025-06-21 06:21:50,Sensacional! Obrigado pelos insights.
159,Instagram,user42,2025-06-22 10:11:33,Obrigado por compartilhar.
160,Instagram,user267,2025-06-12 21:26:27,Sensacional mesmo!
161,Instagram,user185,2025-06-26 18:46:19,Top!
162,Instagram,user299,2025-06-24 11:44:42,Incrível post!
163,Instagram,user13,2025-06-30 04:00:17,Muito interessante.
164,Instagram,user93,2025-06-26 08:06:49,Ótimo trabalho!
165,Instagram,user50,2025-06-30 10:22:17,Bem interessante.
166,Instagram,user142,2025-06-20 21:02:52,Sensacional mesmo!
167,Instagram,user21,2025-06-27 17:18:38,Sensacional mesmo!
168,Instagram,user222,2025-06-20 16:48:56,Muito esclarecedor.
169,Instagram,user296,2025-06-21 16:19:48,Excelente post!
170,Instagram,user128,2025-06-24 02:43:33,Boa dica!
171,Instagram,user163,2025-06-11 18:21:56,Valeu pelas dicas!
172,Instagram,user175,2025-06-05 18:04:19,Muito interessante.
173,Instagram,user18,2025-06-12 22:19:28,Excelente uso de exemplos.
174,Instagram,user105,2025-06-29 18:44:41,Isso ajudou muito.
175,Instagram,user284,2025-06-14 13:23:10,Muito bom 😊
176,Instagram,user60,2025-06-27 18:54:08,Incrível post!
177,Instagram,user169,2025-06-24 15:57:48,Valeu pelas dicas!
178,Instagram,user67,2025-06-20 16:18:26,Sensacional!
179,Instagram,user202,2025-06-18 23:22:52,Super útil!
180,Instagram,user58,2025-06-09 05:43:21,Sensacional! Obrigado pelos insights.
181,Instagram,user74,2025-06-24 02:49:09,Super útil!
182,Instagram,user204,2025-06-26 21:56:01,Excelente conteúdo!
183,Instagram,user266,2025-06-26 21:15:34,#incrível
184,Instagram,user269,2025-06-15 15:01:10,Adorei!
185,Instagram,user235,2025-06-30 18:06:10,Sensacional!
186,Instagram,user54,2025-06-04 20:39:01,Show de bola!
187,Instagram,user8,2025-06-14 17:14:53,Super útil!
188,Instagram,user185,2025-06-13 15:04:54,Bem interessante.
189,Instagram,user37,2025-06-09 16:41:43,Curti!
190,Instagram,user290,2025-06-03 09:32:52,#dica #aprendizado
191,Instagram,user52,2025-06-13 23:48:11,Curti!
192,Instagram,user215,2025-06-29 12:54:02,Está ótimo!
193,Instagram,user208,2025-06-25 09:40:28,Gostei da abordagem prática e exemplos reais.
194,Instagram,user84,2025-06-15 21:43:44,Conteúdo relevante.
195,Instagram,user256,2025-06-23 17:04:17,Valeu pelas dicas!
196,Instagram,user140,2025-06-23 04:03:03,Muito interessante.
197,Instagram,user177,2025-06-30 21:59:56,Gostei bastante.
198,Instagram,user176,2025-06-13 06:09:34,Me ajudou bastante.
199,Instagram,user255,2025-06-10 15:13:47,Agradeço pelo post.
200,Instagram,user175,2025-06-15 18:10:27,Bem interessante.
201,Facebook,user176,2025-06-19 18:21:15,Sensacional mesmo!
202,Facebook,user136,2025-06-26 19:36:08,Parabéns pelo trabalho!
203,Facebook,user144,2025-07-01 12:51:40,Perfeito!
204,Facebook,user163,2025-06-09 09:10:12,Curti demais o formato de apresentação.
205,Facebook,user235,2025-06-18 01:15:41,Curti!
206,Facebook,user94,2025-06-17 09:52:07,Curti!
207,Facebook,user1,2025-06-25 19:58:03,Bem interessante.
208,Facebook,user141,2025-06-30 01:00:55,#dica #aprendizado
209,Facebook,user246,2025-06-24 12:24:04,Que legal!
210,Facebook,user34,2025-06-13 11:30:56,Ótimo trabalho!
211,Facebook,user60,2025-06-28 03:49:11,Excelente uso de exemplos.
212,Facebook,user211,2025-06-29 18:04:40,Pode explicar melhor?
213,Facebook,user38,2025-06-10 11:29:26,Excelente uso de exemplos.
214,Facebook,user258,2025-06-29 02:57:38,Parabéns pelo trabalho!
215,Facebook,user5,2025-06-20 06:17:26,Muito bom!
216,Facebook,user146,2025-06-18 23:06:44,Parabéns pelo trabalho!
217,Facebook,user253,2025-06-22 12:01:44,Excelente post!
218,Facebook,user157,2025-06-30 13:26:14,Bacana!
219,Facebook,user24,2025-06-05 11:03:11,Incrível!
220,Facebook,user259,2025-06-27 06:41:36,Parabéns pelo trabalho!
221,Facebook,user212,2025-06-30 17:25:27,Que legal!
222,Facebook,user25,2025-06-26 12:05:49,Curti!
223,Facebook,user110,2025-06-09 03:30:47,Perfeito!
224,Facebook,user275,2025-07-01 19:59:59,Legal demais.
225,Facebook,user279,2025-06-05 00:43:56,"Exemplo muito prático, gostei!"
226,Facebook,user282,2025-06-09 09:18:42,Top!
227,Facebook,user134,2025-06-29 06:49:29,Excelente conteúdo!
228,Facebook,user30,2025-06-16 19:32:17,Adorei especialmente a forma como você explicou o tópico.
229,Facebook,user251,2025-06-18 12:25:01,#incrível
230,Facebook,user73,2025-06-09 10:21:52,Isso ajudou muito.
231,Facebook,user114,2025-06-20 01:58:45,Fantástico!
232,Facebook,user241,2025-06-19 01:49:21,Muito bom 😊
233,Facebook,user30,2025-06-26 11:43:16,Muito esclarecedor.
234,Facebook,user270,2025-06-05 07:18:04,Parabéns pelo trabalho!
235,Facebook,user173,2025-06-21 04:14:29,Muito interessante.
236,Facebook,user259,2025-06-26 00:27:46,Excelente post!
237,Facebook,user173,2025-06-09 06:45:14,Que legal!
238,Facebook,user218,2025-06-10 05:19:52,"Achei esta parte confusa, pode revisar?"
239,Facebook,user280,2025-06-26 20:03:36,#dica #aprendizado
240,Facebook,user147,2025-06-08 16:50:51,Super útil!
241,Facebook,user38,2025-06-25 23:12:06,Excelente uso de exemplos.
242,Facebook,user16,2025-06-13 00:44:37,Adorei!
243,Facebook,user91,2025-06-06 21:01:29,Gostaria de saber mais.
244,Facebook,user221,2025-06-28 20:20:02,Sensacional!
245,Facebook,user129,2025-06-15 10:45:07,Adorei!
246,Facebook,user257,2025-06-04 18:53:30,Obrigado!
247,Facebook,user261,2025-06-17 11:40:21,👏👏👏
248,Facebook,user159,2025-06-19 17:21:01,#incrível
249,Facebook,user28,2025-06-24 00:23:46,Me ajudou bastante.
250,Facebook,user57,2025-06-29 21:47:15,Adorei especialmente a forma como você explicou o tópico.
251,Facebook,user189,2025-06-07 05:54:21,Boa dica!
252,Facebook,user269,2025-06-11 18:52:17,Pode explicar melhor?
253,Facebook,user16,2025-06-29 06:50:41,Parabéns pelo trabalho!
254,Facebook,user99,2025-06-20 12:04:54,Bacana!
255,Facebook,user279,2025-06-19 14:04:45,Boa dica!
256,Facebook,user144,2025-07-01 00:11:08,Perfeito!
257,Facebook,user263,2025-06-17 05:33:57,Obrigado!
258,Facebook,user33,2025-06-19 09:10:00,Qual ferramenta você usou?
259,Facebook,user46,2025-07-02 10:07:03,Gostaria de saber mais.
260,Facebook,user2,2025-06-13 17:54:22,Excelente post!
261,Facebook,user257,2025-06-20 16:35:28,Ótimo post!
262,Facebook,user260,2025-06-06 13:10:55,Ótimo post!
263,Facebook,user94,2025-06-05 17:11:43,Incrível!
264,Facebook,user29,2025-06-24 07:02:02,#dica #aprendizado
265,Facebook,user95,2025-06-18 11:26:37,Excelente uso de exemplos.
266,Facebook,user54,2025-06-15 07:34:39,Adorei!
267,Facebook,user138,2025-06-20 23:24:48,Excelente post!
268,Facebook,user193,2025-06-12 09:03:43,Adorei especialmente a forma como você explicou o tópico.
269,Facebook,user184,2025-06-15 22:21:55,Está ótimo!
270,Facebook,user100,2025-06-29 17:34:44,Incrível post!
271,Facebook,user244,2025-06-11 13:48:37,Incrível post!
272,Facebook,user275,2025-06-02 19:38:38,Obrigado por compartilhar.
273,Facebook,user226,2025-06-02 23:56:42,Curti demais o formato de apresentação.
274,Facebook,user139,2025-06-18 12:45:05,Show de bola!
275,Facebook,user251,2025-06-06 00:31:26,Amo o jeito que você aborda o assunto.
276,Facebook,user267,2025-06-15 01:40:41,#dica #aprendizado
277,Facebook,user92,2025-06-18 20:51:26,Pode explicar melhor?
278,Facebook,user109,2025-06-27 18:31:21,Ótima informação.
279,Facebook,user19,2025-06-03 18:21:36,Incrível!
280,Facebook,user6,2025-06-30 17:37:25,Sensacional mesmo!
281,Facebook,user110,2025-06-11 15:13:25,Isso ajudou muito.
282,Facebook,user292,2025-06-10 03:25:00,Está ótimo!
283,Facebook,user63,2025-06-22 12:50:46,Valeu pelas dicas!
284,Facebook,user34,2025-06-30 11:45:58,Amo o jeito que você aborda o assunto.
285,Facebook,user40,2025-06-24 22:36:09,Fantástico!
286,Facebook,user127,2025-06-30 11:20:21,Amo o jeito que você aborda o assunto.
287,Facebook,user176,2025-06-07 15:14:24,Obrigado!
288,Facebook,user8,2025-06-19 08:26:22,Muito bom!
289,Facebook,user245,2025-07-02 00:52:47,Bem interessante.
290,Facebook,user46,2025-06-23 08:32:14,Valeu pelas dicas!
291,Facebook,user19,2025-06-08 10:35:33,Excelente post!
292,Facebook,user222,2025-06-28 08:01:54,Agradeço pelo post.
293,Facebook,user202,2025-06-09 16:52:11,Obrigado!
294,Facebook,user84,2025-06-12 04:59:05,Incrível post!
295,Facebook,user74,2025-06-19 07:19:23,Legal demais.
296,Facebook,user69,2025-06-05 18:48:01,Ótima informação.
297,Facebook,user289,2025-06-12 01:35:09,Agradeço pelo post.
298,Facebook,user33,2025-06-05 07:49:27,Excelente conteúdo!
299,Facebook,user22,2025-06-09 21:24:07,Muito bom 😊
300,Facebook,user110,2025-06-07 23:00:04,Incrível!
301,Facebook,user278,2025-06-26 13:13:54,Excelente conteúdo!
302,Facebook,user298,2025-06-11 02:07:09,Adorei especialmente a forma como você explicou o tópico.
303,Facebook,user94,2025-06-12 20:54:57,Incrível!
304,Facebook,user62,2025-06-18 00:06:07,Muito bom 😊
305,Facebook,user163,2025-06-30 12:36:20,Excelente uso de exemplos.
306,Facebook,user240,2025-06-11 05:14:14,Parabéns pelo trabalho!
307,Facebook,user135,2025-06-13 04:02:41,Está ótimo!
308,Facebook,user172,2025-06-16 17:36:58,Bem interessante.
309,Facebook,user30,2025-06-29 15:33:02,Incrível!
310,Facebook,user114,2025-06-27 06:01:34,Super útil!
311,Facebook,user66,2025-06-22 04:17:30,Ótima informação.
312,Facebook,user155,2025-06-25 12:30:32,Pode explicar melhor?
313,Facebook,user111,2025-06-26 02:30:45,👏👏👏
314,Facebook,user84,2025-06-18 11:38:11,Valeu pelas dicas!
315,Facebook,user168,2025-06-26 10:24:08,Perfeito!
316,Facebook,user151,2025-06-29 04:07:50,Obrigado!
317,Facebook,user104,2025-06-15 13:26:55,Valeu pelas dicas!
318,Facebook,user217,2025-06-26 23:43:51,Incrível post!
319,Facebook,user236,2025-07-02 09:30:47,Ótimo post!
320,Facebook,user187,2025-06-22 02:06:10,Top!
321,Facebook,user289,2025-06-16 16:41:55,Muito esclarecedor.
322,Facebook,user48,2025-06-06 11:22:45,Conteúdo relevante.
323,Facebook,user147,2025-06-13 04:58:35,Agradeço pelo post.
324,Facebook,user172,2025-07-01 09:29:40,Legal demais.
325,Facebook,user48,2025-06-19 14:15:48,Ótima informação.
326,Facebook,user264,2025-06-20 16:42:04,"Ótimas referências e fontes, obrigada!"
327,Facebook,user48,2025-06-18 08:21:43,"Ótimas referências e fontes, obrigada!"
328,Facebook,user101,2025-06-26 20:30:00,Valeu pelas dicas!
329,Facebook,user276,2025-06-25 21:57:19,Isso ajudou muito.
330,Facebook,user265,2025-06-21 21:15:11,Fantástico!
331,Facebook,user203,2025-06-24 11:23:08,Sensacional mesmo!
332,Facebook,user170,2025-06-24 23:18:14,Adorei especialmente a forma como você explicou o tópico.
333,Facebook,user233,2025-06-19 15:51:17,Top!
334,Facebook,user35,2025-06-05 17:26:28,Obrigado por compartilhar.
335,Facebook,user268,2025-06-19 23:23:23,Adorei especialmente a forma como você explicou o tópico.
336,Facebook,user205,2025-06-21 14:43:35,Muito bom!
337,Facebook,user213,2025-06-18 11:16:46,"Ótimas referências e fontes, obrigada!"
338,Facebook,user157,2025-06-07 12:19:38,Muito esclarecedor.
339,Facebook,user104,2025-06-26 23:27:41,Sensacional! Obrigado pelos insights.
340,Facebook,user293,2025-06-04 11:19:20,Incrível post!
341,Facebook,user131,2025-06-22 09:22:50,Qual ferramenta você usou?
342,Facebook,user41,2025-06-17 09:11:13,Conteúdo relevante.
343,Facebook,user298,2025-06-06 04:21:13,Curti demais o formato de apresentação.
344,Facebook,user18,2025-06-27 23:50:08,Isso ajudou muito.
345,Facebook,user287,2025-06-22 09:01:58,Muito esclarecedor.
346,Facebook,user173,2025-06-28 21:04:00,Adorei especialmente a forma como você explicou o tópico.
347,Facebook,user198,2025-06-22 22:15:01,Valeu pelas dicas!
348,Facebook,user79,2025-06-12 06:45:54,Bacana!
349,Facebook,user208,2025-06-10 20:00:17,Me ajudou bastante.
350,Facebook,user226,2025-06-07 09:07:26,Sensacional! Obrigado pelos insights.
351,X (Twitter),user101,2025-06-22 03:25:16,Excelente conteúdo!
352,X (Twitter),user181,2025-06-09 22:07:49,Excelente conteúdo!
353,X (Twitter),user53,2025-06-26 21:04:05,Isso ajudou muito.
354,X (Twitter),user43,2025-06-07 04:00:31,Curti!
355,X (Twitter),user109,2025-06-12 13:47:45,Muito interessante.
356,X (Twitter),user197,2025-06-27 13:44:35,"Esse tutorial foi bem claro e objetivo, me ajudou muito."
357,X (Twitter),user33,2025-06-24 12:39:30,Adorei!
358,X (Twitter),user240,2025-06-02 18:25:06,Sensacional! Obrigado pelos insights.
359,X (Twitter),user97,2025-06-27 21:14:19,Gostei da abordagem prática e exemplos reais.
360,X (Twitter),user116,2025-06-23 11:45:06,Muito interessante.
361,X (Twitter),user70,2025-06-21 03:54:00,Gostaria de saber mais.
362,X (Twitter),user292,2025-06-08 09:15:01,Muito esclarecedor.
363,X (Twitter),user286,2025-06-23 10:24:45,Adorei!
364,X (Twitter),user179,2025-06-21 15:52:56,Sensacional mesmo!
365,X (Twitter),user146,2025-06-21 03:05:10,Está ótimo!
366,X (Twitter),user270,2025-06-18 04:49:52,Qual ferramenta você usou?
367,X (Twitter),user119,2025-06-19 02:59:05,Muito esclarecedor.
368,X (Twitter),user137,2025-06-13 15:08:52,Show de bola!
369,X (Twitter),user287,2025-06-09 01:53:03,Amo o jeito que você aborda o assunto.
370,X (Twitter),user121,2025-06-02 20:48:24,Parabéns pelo trabalho!
371,X (Twitter),user234,2025-06-20 00:05:38,Bacana!
372,X (Twitter),user141,2025-06-06 11:28:15,Muito interessante.
373,X (Twitter),user149,2025-06-07 16:06:28,Curti!
374,X (Twitter),user152,2025-06-11 01:12:34,Ótima informação.
375,X (Twitter),user163,2025-06-16 22:11:49,Parabéns pelo trabalho!
376,X (Twitter),user285,2025-06-15 19:52:09,Pode explicar melhor?
377,X (Twitter),user14,2025-06-18 07:12:47,"Achei esta parte confusa, pode revisar?"
378,X (Twitter),user173,2025-06-11 07:25:03,Curti demais o formato de apresentação.
379,X (Twitter),user69,2025-06-07 08:23:21,Adorei especialmente a forma como você explicou o tópico.
380,X (Twitter),user195,2025-06-06 19:32:06,Boa dica!
381,X (Twitter),user155,2025-06-27 07:18:27,Amo o jeito que você aborda o assunto.
382,X (Twitter),user205,2025-06-07 14:00:21,Curti!
383,X (Twitter),user11,2025-06-16 09:55:22,Que legal!
384,X (Twitter),user29,2025-06-09 21:12:33,Adorei especialmente a forma como você explicou o tópico.
385,X (Twitter),user196,2025-06-10 13:28:31,Excelente uso de exemplos.
386,X (Twitter),user22,2025-06-28 02:34:42,"Exemplo muito prático, gostei!"
387,X (Twitter),user197,2025-06-14 15:58:54,Muito esclarecedor.
388,X (Twitter),user177,2025-06-26 14:34:06,Excelente conteúdo!
389,X (Twitter),user15,2025-06-19 22:09:08,Pode explicar melhor?
390,X (Twitter),user118,2025-06-26 00:54:25,Que legal!
391,X (Twitter),user67,2025-06-25 02:03:02,Excelente uso de exemplos.
392,X (Twitter),user248,2025-06-15 23:59:43,Pode explicar melhor?
393,X (Twitter),user42,2025-06-14 02:11:08,Ótima informação.
394,X (Twitter),user183,2025-06-23 22:46:42,Curti!
395,X (Twitter),user295,2025-06-20 13:33:04,"Esse tutorial foi bem claro e objetivo, me ajudou muito."
396,X (Twitter),user9,2025-06-12 08:40:44,Parabéns pelo trabalho!
397,X (Twitter),user274,2025-06-28 01:20:07,Ótimo post!
398,X (Twitter),user237,2025-06-19 16:02:37,Muito esclarecedor.
399,X (Twitter),user138,2025-07-01 02:18:39,Valeu pelas dicas!
400,X (Twitter),user127,2025-07-02 13:16:09,Incrível post!
401,X (Twitter),user95,2025-06-12 00:37:51,Adorei!
402,X (Twitter),user37,2025-06-09 20:03:07,Ótimo trabalho!
403,X (Twitter),user161,2025-06-15 18:54:26,Incrível post!
404,X (Twitter),user274,2025-06-05 13:39:53,Bem interessante.
405,X (Twitter),user261,2025-06-30 09:14:19,"Esse tutorial foi bem claro e objetivo, me ajudou muito."
406,X (Twitter),user160,2025-07-02 01:46:45,Excelente conteúdo!
407,X (Twitter),user260,2025-06-17 07:44:13,#incrível
408,X (Twitter),user225,2025-06-24 22:00:38,Ótimo post!
409,X (Twitter),user199,2025-06-15 04:17:27,Sensacional! Obrigado pelos insights.
410,X (Twitter),user51,2025-06-08 02:36:02,Obrigado por compartilhar.
411,X (Twitter),user100,2025-06-26 09:53:35,Boa dica!
412,X (Twitter),user13,2025-06-17 11:17:49,Sensacional! Obrigado pelos insights.
